name_of_satellite_alternate_names,country_of_operator_owner,operator_owner,users,purpose,class_of_orbit,type_of_orbit,date_of_launch,expected_lifetime (in years),comments,longitude_of_geo_degrees,perigee_km,apogee_km,eccentricity,inclination_degrees,period_minutes
Intelsat 801,USA,"Intelsat, Ltd.",Commercial,Communications,GEO,,1997-02-28,14,"""64 C-band, 16 Ku-band; broadcasting, business services, direct-to-home TV broadcasting, telecommunications, VSAT networks; Atlantic Ocean region.""",-31.47,"""35,767""","""35,802""",0.000415,0.21,1436.14
"""Intelsat 5 (Arabsat 2C, Panamsat-5, PAS-5)""",USA,"Intelsat, Ltd.",Commercial,Communications,   GEO,,1997-08-28,15,"""28 C-band, 28 Ku-band; covers Arab world. Inclined.""",26.11,"""35,774""","""35,798""",0.000285,0.03,1436.09
Intelsat 805 ,USA,"Intelsat, Ltd.",Commercial,Communications,GEO,,1998-06-18,14,"""36 C-band, 6 Ku-band, broadcasting, business services, direct-to-home TV broadcasting, telecommunications, VSAT networks; Atlantic Ocean region.""",-55.49,"""35,775""","""35,797""",0.000261,0.01,1436.08
Intelsat APR-2 (INSAT 2E),USA,"Intelsat, Ltd.",Commercial,Communications,GEO,,1999-04-03,12,"""6 C-band, broadcasting, business services, direct-to-home TV broadcasting, telecommunications, VSAT networks; Asia Pacific region.""",83.03,"""35,769""","""35,804""",0.000415,0.18,1436.11
"""Galaxy-27 (G-27, Intelsat IA-7, Telstar 7)""",USA,"Intelsat, Ltd.",Commercial,Communications,GEO,,1999-09-25,13,"""24 C-band, 24 Ku-band; voice and video to North and Central America; a 2004 anomaly resulted in loss of half its capacity.""",-128.93,"""35,776""","""35,794""",0.000213,0,1436.06
Intelsat 901 ,USA,"Intelsat, Ltd.",Commercial,Communications,GEO,,2001-06-09,13,"""72 C-band, 22 Ku-band, broadcasting, business services, direct-to-home TV broadcasting, telecommunications, VSAT networks; Atlantic Ocean region.""",-18.01,"""35,775""","""35,798""",0.000273,0.01,1436.12
Intelsat 902 ,USA,"Intelsat, Ltd.",Commercial,Communications,GEO,,2001-08-30,13,"""76 C-band, 22 Ku-band, broadcasting, business services, direct-to-home TV broadcasting, telecommunications, VSAT networks; Indian Ocean region.""",62.05,"""35,775""","""35,797""",0,1436.1,1436.1
Intelsat 904 ,USA,"Intelsat, Ltd.",Commercial,Communications,GEO,,2002-02-23,13,"""76 C-band, 22 Ku-band, broadcasting, business services, direct-to-home TV broadcasting, telecommunications, VSAT networks; Indian Ocean region.""",60.05,"""35,782""","""35,789""",0.000083,0.01,1436.07
Intelsat 903 ,USA,"Intelsat, Ltd.",Commercial,Communications,GEO,,2002-03-30,13,"""76 C-band, 22 Ku-band, broadcasting, business services, direct-to-home TV broadcasting, telecommunications, VSAT networks; Atlantic Ocean region.""",-34.55,"""35,773""","""358,802""",0.793,0.02,1436.16
Intelsat 905 ,USA,"Intelsat, Ltd.",Commercial,Communications,GEO,,2002-06-05,13,"""76 C-band, 22 Ku-band, broadcasting, business services, direct-to-home TV broadcasting, telecommunications, VSAT networks; Atlantic Ocean region.""",-24.52,"""35,768""","""35,805""",0.000439,0.01,1436.12
Intelsat 906 ,USA,"Intelsat, Ltd.",Commercial,Communications,GEO,,2002-09-06,13,"""72 C-band, 22 Ku-band, broadcasting, business services, direct-to-home TV broadcasting, telecommunications, VSAT networks.""",64.19,"""35,775""","""35,796""",0.000249,0.01,1436.07
Intelsat 907 ,USA,"Intelsat, Ltd.",Commercial,Communications,GEO,,2003-02-15,13,"""76 C-band transponders; business, video, internet.""",-27.45,"""35,770""","""35,803""",0.000391,0.02,1436.1
Intelsat 10-02 (Thor 4),USA,"Intelsat, Ltd.",Commercial,Communications,GEO,,2004-06-16,13,"""Television, data, and other telecommunication services to Europe, Africa and the Middle East; 36 Ku-band, 70 C-band transponders.""",-0.95,"""35,783""","""35,789""",0.0000712,0.02,1436.08
"""Galaxy-28 (G-28, Intelsat IA-8, Telstar 8)""",USA,"Intelsat, Ltd.",Commercial,Communications,GEO,,2005-06-23,13,"""28 C-band, 36 Ku-band, 24 Ka-band; video and data transmissions to all countries in North and South America.""",-88.96,"""35,775""","""35,798""",0.000273,0.01,1436.1
Galaxy-17,USA,"Intelsat, Ltd.",Commercial,Communications,GEO,,2007-05-04,15,"""24 C-band, 24 Ku-band transponders; service to North America.""",-91.01,"""35,774""","""35,799""",0.000297,0.02,1436.1
Galaxy-18,USA,"Intelsat, Ltd.",Commercial,Communications,GEO,,2008-05-21,15,"""Advanced cable television and data, North America; 24 Ku-band, 24 C-band transponders.""",-123.02,"""35,774""","""35,798""",0.000285,0.02,1436.1
"""Intelsat 25 (IS-25, Protostar 1, Chinasat 8)""",USA,"Intelsat, Ltd.",Commercial,Communications,GEO,,2008-07-07,16,"""First satellite of fleet; provides service in Asia. Purchased at auction by Intelsat in October, 2009 for $210 million.""",328.5,"""35,778""","""35,793""",0.000178,0.02,1436.1
Galaxy-19,USA,"Intelsat, Ltd.",Commercial,Communications,GEO,,2008-09-24,15,"""50-state coverage, in addition to reaching the Caribbean, Canada and Mexico, to video, government and network customers. """,-97.08,"""35,776""","""35,796""",0.000237,0.05,1436.1
Intelsat 14 (IS-14),USA,"Intelsat, Ltd.",Commercial,Communications,GEO,,2009-11-23,16,"""62 transponders, North and South America, Africa and Europe; will also carry an experiment for the US Department of Defense. Internet Routing in Space, or IRIS, is a technology demonstration project which will allow the satellite to perform IP routing rather than requiring a ground station to do so.""",-45,"""35,771""","""35,800""",0.000344,0.02,1436.05
Intelsat 16 (IS-16),USA,"Intelsat, Ltd.",Commercial,Communications,GEO,,2010-02-12,15,24 Ku-band transponders; direct-to-home to customers in Mexico and Brazil.,-58.12,"""35,783""","""35,791""",0.0000949,0.07,1436.19
Intelsat 17 (IS-17),USA,"Intelsat, Ltd.",Commercial,Communications,GEO,,2010-11-26,16,"""24 C-band , 25 Ku-band transponders serving Europe, the Middle East, Africa, Russia and Asia.""",66,"""35,770""","""35,804""",0.000403,0.03,1436.12
Intelsat New Dawn,USA,"Intelsat, Ltd.",Commercial,Communications,GEO,,2011-04-22,15,"""Carries 14 active C-band transponders and 16 Ku-band transponders to serve customers in Africa, the Middle East, Pakistan and Western Europe; the C-band antenna has failed to deploy as of 6/11.""",32.8,"""35,800""","""35,892""",0.00109,0.05,1439.15
Intelsat 18 (IS-18),USA,"Intelsat, Ltd.",Commercial,Communications,GEO,,2011-10-05,15,"""24 C-band, 12 Ku-band; Asia Pacific Region""",180,"""35,775""","""35,797""",0.000261,0.01,1436.09
Intelsat 22,USA,"Intelsat, Ltd.",Commercial,Communications,GEO,,2012-03-25,18,"""Provide C-band and Ku-band communications services over Africa, Asia, Europe and the Middle East. Intelsat 22 also carries a hosted UHF payload for the Australian Defence Force.""",72,"""35,781""","""35,792""",0.00013,0.03,1436.11
