name_of_satellite_alternate_names,country_of_operator_owner,operator_owner,users,purpose,class_of_orbit,type_of_orbit,date_of_launch,expected_lifetime (in years),comments,longitude_of_geo_degrees,perigee_km,apogee_km,eccentricity,inclination_degrees,period_minutes
Iridium 62 (Iridium SV062),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,1998-04-07,8,,0,776,778,0.00014,86.4,100.38
Iridium 63 (Iridium SV063),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,1998-04-07,8,,0,775,780,0.00035,86.3,100.4
Iridium 64 (Iridium SV064),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,1998-04-07,8,,0,775,779,0.00028,86.4,100.38
Iridium 65 (Iridium SV065),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,1998-04-07,8,,0,776,778,0.00014,86.4,100.38
Iridium 66 (Iridium SV066),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,1998-04-07,8,,0,772,782,0.0007,86.4,100.38
Iridium 67 (Iridium SV067),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,1998-04-07,8,,0,773,781,0.00056,86.4,100.38
Iridium 68 (Iridium SV068),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,1998-04-07,8,,0,775,779,0.00028,86.4,100.38
Iridium 70 (Iridium SV070),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,1998-05-17,8,,0,776,779,0.00021,86.3,100.4
Iridium 72 (Iridium SV072),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,1998-05-17,8,,0,776,778,0.00014,86.4,100.38
Iridium 74 (Iridium SV074),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,1998-05-17,8,,0,776,779,0.00021,86.3,100.4
Iridium 75 (Iridium SV075),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,1998-05-17,8,,0,692,695,0.000212,86.5,98.63
Iridium 3 (Iridium SV078),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,1998-08-19,8,,0,776,779,0.00021,86.3,100.4
Iridium 76 (Iridium SV076),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,1998-08-19,8,"""Spare; stored in 667 km storage orbit, not raised to 780 km operational orbit until needed""",0,775,779,0.00028,86.3,100.38
Iridium 77 (Iridium SV077),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,1998-09-08,8,,0,704,708,0.000283,86.5,98.89
Iridium 80 (Iridium SV080),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,1998-09-08,8,,0,776,778,0.00014,86.4,100.38
Iridium 81 (Iridium SV081),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,1998-09-08,8,"""Spare; stored in 667 km storage orbit, not raised to 780 km operational orbit until needed""",0,776,778,0.00014,86.4,100.38
Iridium 82 (Iridium SV082),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,1998-09-08,8,,0,704,708,0.000283,86.5,98.89
Iridium 83 (Iridium SV083),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,1998-11-06,8,,0,776,779,0.00021,86.3,100.4
Iridium 84 (Iridium SV084),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,1998-11-06,8,"""Spare; stored in 667 km storage orbit, not raised to 780 km operational orbit until needed""",0,701,705,0.000283,86.5,98.83
Iridium 86 (Iridium SV086),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,1998-11-06,8,Operational,0,744,752,0.000562,86.5,98.85
Iridium 11A (Iridium SVO88),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,1998-12-19,8,,0,687,713,0.00184,86.5,98.77
Iridium 20A (Iridium SV089),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,1998-12-19,8,,0,685,712,0.00191,86.5,98.74
Iridium 14A (Iridium SV092),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,1999-06-11,8,,0,708,711,0.000212,86.5,98.98
Iridium 21A (Iridium SVO93),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,1999-06-11,8,,0,709,711,0.000141,86.5,98.98
Iridium 90 (Iridium SV090),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,2002-02-11,8,"""Spare; stored in 670 km storage orbit, not raised to 780 km operational orbit until needed""",0,670,673,0.000213,86.5,97.4
Iridium 91 (Iridium SV091),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,2002-02-11,8,"""Spare; stored in 670 km storage orbit, not raised to 780 km operational orbit until needed""",0,670,673,0.000213,86.5,97.44
Iridium 94 (Iridium SV094),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,2002-02-11,8,"""Spare; stored in 670 km storage orbit, not raised to 780 km operational orbit until needed""",0,670,673,0.000213,86.5,97.82
Iridium 95 (Iridium SV095),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,2002-02-11,8,"""Spare; stored in 670 km storage orbit, not raised to 780 km operational orbit until needed""",0,670,673,0.000213,86.5,98.19
Iridium 96 (Iridium SV096),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,2002-02-11,8,"""Spare; stored in 670 km storage orbit, not raised to 780 km operational orbit until needed""",0,670,673,0.000213,86.5,97.39
Iridium 97 (Iridium SV097),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,2002-06-20,8,"""Spare; stored in 670 km storage orbit, not raised to 780 km operational orbit until needed""",0,670,673,0.000213,86.5,98.02
Iridium 98 (Iridium SV098),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,2002-06-20,8,Operational,0,658,666,0.000569,86.5,97.98
Amos 2 ,Israel,Israel Aircraft Industries,Military/Commercial,Communications,GEO,,2003-12-27,12,"""Ku-band communications, Europe, Middle East, East Coast of USA.""",-3.98,"""35,778""","""35,794""",0.00019,0.05,1436.08
Sicral 1A ,Italy,Italian Defense Ministry,Military,Communications,GEO,,2001-02-07,10,"""Italy's first military satellite; communications to fixed and mobile terminals. Extremely High Frequency (EHF), SHF, UHF broadcast frequencies. On-board failure in 2006, but operations recovered.""",16.25,"""35,769""","""35,802""",0.000391,1.01,1436.06
Sicral 1B,Italy,Italian Defense Ministry/Telespazio,Military/Commercial,Communications,GEO,,2009-04-20,10,One third paid for by Telespazio; will use some transponders for approved government customers.,11.8,"""35,788""","""35,802""",0.000166,0.04,1436.52
AGILE (Astro-rivelatore Gamma a Immagini Leggaro),Italy,Italian Space Agency,Government,Scientific Research,LEO,,2007-04-23,3,Italian gamma ray observatory.,0,523,553,0.00217,2.47,95.4
COSMO-Skymed 1 (Constellation of small Satellites for Mediterranean basin Observation),Italy,Italian Space Agency/Ministry of Defense,Civil/Military,Remote Sensing/Imaging,LEO,Sun-Synchronous,2007-06-08,5,"""To be part of 4-satellite constellation; radar imager, collect data on floods, droughts, earthquakes and landslides; military applications.""",0,622,626,0.000286,97.86,97.19
COSMO-Skymed 2 (Constellation of small Satellites for Mediterranean basin Observation),Italy,Italian Space Agency/Ministry of Defense,Military/Government,Earth Observation,LEO,Sun-Synchronous,2007-12-09,5,Earth imaging; synthetic aperture radar (SAR) operating in X-band.,0,622,624,0.000143,97.86,97.16
COSMO-Skymed 3 (Constellation of small Satellites for Mediterranean basin Observation),Italy,Italian Space Agency/Ministry of Defense,Military/Government,Earth Observation,LEO,Sun-Synchronous,2008-10-25,5,"""Earth imaging; synthetic aperture radar (SAR) operating in X-band, focus on Mediterranean security.""",0,622,625,0.000214,97.86,97.17
COSMO-Skymed 4 (Constellation of small Satellites for Mediterranean basin Observation),Italy,Italian Space Agency/Ministry of Defense,Military/Government,Earth Observation,LEO,Sun-Synchronous,2010-11-06,5,"""Earth imaging; synthetic aperture radar (SAR) operating in X-band, focus on Mediterranean security.""",0,621,624,0.000215,97.86,97.17
ITU-pSAT1 (Istanbul Technical University Picosat-1),Turkey,ITU Space Systems Design & Test Laboratory,Civil,Technology Development,LEO,Sun-Synchronous,2009-09-23,1,"""Turkey's first university satellite; raise experienced staff on satellite systems in our country, and also to serve as a practical ground for the theoretically equipped graduate and undergraduate students of _TÂ  Astronautics Department.""",0,710,725,0.00106,98.34,99.13
Kizuna (WINDS - Wideband InterNetworking engineering Demonstration Satellite),Japan,Japan Aerospace Exploration Agency (JAXA),Government,Technology Development,GEO,,2008-02-23,,"""Technology demonstration; carries ultra-fast, 1.2 Gbps direct-to-home downlink in Ka-band.""",143.05,"""35,776""","""35,796""",0.000237,0.02,1436.1
"""Greenhouse Gases Observing Satellite (Ibuki, GoSAT)""",Japan,Japan Aerospace Exploration Agency (JAXA),Civil,Earth Science,LEO,Sun-Synchronous,2009-01-23,5,Observe the concentration and distribution of greenhouse gases across most of the Earth's surface.,0,668,670,0.000142,98.05,98.12
"""QZS-1 (Quazi-Zenith Satellite System, Michibiki)""",Japan,Japan Aerospace Exploration Agency (JAXA),Government,Navigation,GEO,,2010-09-11,,First in three-satellite constellation for navigation.,0,"""32,618""","""38,950""",0.000209,40,1436
Suzaku (Astro E2),Japan/USA,Japan Aerospace Exploration Agency (JAXA)/NASA,Government,Astrophysics,LEO,Intermediate,2005-07-10,5,Orbiting observatory for study of high-energy processes; X-ray spectrometer (XRS) instrument failed one month into mission.,0,565,573,0.000576,31.4,96.05
MTSAT-2 (Multi-Functional Transport Satellite),Japan,Japan Meteorological Agency/Meteorological Satellite Center (MSC),Government,Meteorology,GEO,,2006-02-18,5,Meteorological satellite; will also relay ground weather data to the Meteorological Satellite Center; in standby mode until 2010.,145.06,"""35,776""","""35,797""",0.000249,0.01,1436.1
MTSAT-1R (Himawari 6),Japan,Japanese Ministry of Transport/Japan Meteorological Agency,Government,Meteorology/Navigation,GEO,,2005-02-26,5,Dual purpose satellite: air traffic control and navigation function as well as a meteorological function.,140.07,"""35,778""","""35,796""",0.000213,0.07,1436.1
KazSat-2,Kazakhstan,JSC KazSat,Commecial,Communications,GEO,,2011-07-15,12,Replaced KazSat-1.,86.5,"""35,786""","""35,788""",0.0000237,0.03,1436.13
"""Kompsat-2 (Arirang 2, Korean planned Multipurpose Satellite-2)""",South Korea,Korea Aerospace Research Institute (KARI),Government/Commercial,Earth Observation/Technology Development,LEO,Sun-Synchronous,2006-07-28,3,"""High-resolution, multispectral images of Earth's surface.""",0,675,702,0.00191,98.1,98.52
"""COMS-1 (Communication, Ocean and Meteorological Satellite; Cheollian)""",South Korea,Korea Aerospace Research Institute (KARI),Government,Earth Observation/Meteorology/Communications,GEO,,2010-06-26,,"""Multi-mission satellite with three payloads: one for meteorology, one for ocena observation and one for communications.""",128,"""35,783""","""35,791""",0.0000949,0.01,1436.1
Koreasat 6 (Mugungwha 6),South Korea,KT Corporation,Commercial,Communications,GEO,,2010-12-29,15,Enhanced HD and 3D satellite TV programs. 30 Ku-and transponders. Will replace Koreasat 3.,116,"""35,780""","""35,794""",0.000166,0.05,1436.12
Koreasat 5 (Mugungwha 5),South Korea,KT Corporation/Korean Agency for Defense Development (ADD),Military/Commercial,Communications,GEO,,2006-08-22,,"""24 Ku-band, 8 SHF-band, and 4 Ka-band transponders for commercial and military use.""",113.08,"""35,780""","""35,792""",0.000142,0.02,1436.1
Unisat-3 (University Satellite 3),Italy,La Sapienza University of Rome,Civil,Scientific Research,LEO,Sun-Synchronous,2004-06-29,,Test solar cells in the space environment.,0,700,779,0.00556,98.2,99.6
Apstar 2R (Telstar 10),China (PR),Leased to APT Satellite Holdings Ltd./Loral Skynet,Commercial,Communications,GEO,,1997-10-17,15,"""One of the most powerful in Asia-Pacific service; 28 C-band, 16 Ku-band; China, Korea, Taiwan, Europe, Africa, Australia.""",76.55,"""35,769""","""35,803""",0.000403,0.03,1436.1
SkyTerra 1,USA,LightSquared,Commercial,Communications,GEO,,2010-11-14,15,"""Part of a fourth generation, or 4G, wireless system designed to reach nearly every American by the end of 2016. 22-m diameter L-band antenna; 2 m Ku-band antenna.""",-101.3,"""35,782""","""35,791""",0.000107,6.06,1436.09
Estrela do Sul 1 (Telstar 14) ,Brazil,Loral Skynet do Brasil (Loral Skynet),Commercial,Communications,GEO,,2004-01-11,,41 Ku-band transponders; direct-to-home video and internet to Brazil and North America.,-62.99,"""35,783""","""35,789""",0.0000712,0.02,1436.08
Telstar 18 (Apstar 5),Multinational,Loral Skynet Satellite Services (Loral Global Alliance)/APT Satellite Holdings Ltd.,Commercial,Communications,GEO,,2004-06-29,13,54 active transponders; one of the most powerful communications satellites built to date; coverage across East Asia and the Pacific Ocean,138.04,"""35,778""","""35,795""",0.000202,0.01,1436.1
CFESat (Cibola Flight Experiment Satellite),USA,Los Alamos National Labs (LANL),Government,Technology Development,LEO,,2007-03-09,,"""A number of experiments, including a prototype supercomputer designed to process data onboard rather than sending raw information directly to Earth.""",0,557,563,0.000433,35.43,95.86
FORTÃ„ (Fast On-orbit Recording of Transient Events),USA,Los Alamos National Labs/DOE,Government,Earth Observation,LEO,Intermediate,1997-08-29,3,"""Electronic equipment for detecting, analyzing and recording bursts of radio energy (nuclear tests) from near Earth's surface (nonproliferation); study lightning; plastic satellite bus.""",0,800,833,0.0023,69.9,101.22
RazakSat (MACSat),Malaysia,Malaysian National Space Agency,Government,Remote Sensing,LEO,Intermediate,2009-07-14,3,"""Will revisit some part of Malaysian territory every 90 minutes, maximising its ability to exploit gaps in the clouds, and substantially improving coverage of the country as a result.""",0,666,689,0.00163,8.99,98.3
"""Africasat-1 (Measat 1, Malaysia East Asia Sat 1)""",Malaysia,MEASAT Satellite Systems Sdn. Bhd.,Commercial,Communications,GEO,,1996-01-13,12,"""Inclined orbit; digital video and audio broadcasting, international and domestic VSAT and telecommunication services as well as high-speed Internet access; 12 C-band, 5 Ku-band.""",46.03,"""35,784""","""35,787""",0.0000356,1.12,1436.06
Measat 2 (Malaysia East Asia Sat 2),Malaysia,MEASAT Satellite Systems Sdn. Bhd.,Commercial,Communications,GEO,,1996-11-14,11,"""Brought back from retirement 9/11, highly inclined. Digital video and audio broadcasting, international and domestic VSAT and telecommunication services as well as high-speed Internet access; 6 C-band, 9 Ku-band; Malaysia and neighboring countries.""",148,"""35,782""","""35,791""",0.000107,1.09,1436.12
Measat 3 (Malaysia East Asia Sat 3),Malaysia,MEASAT Satellite Systems Sdn. Bhd.,Commercial,Communications,GEO,,2006-12-11,15,"""24 C-band, 24 Ku-band""",91.54,"""35,778""","""35,794""",0.00019,0,1436.1
Measat 3A (Malaysia East Asia Sat 3A),Malaysia,MEASAT Satellite Systems Sdn. Bhd.,Commercial,Communications,GEO,,2009-06-21,15,"""12 C-band, 12 Ku-band transponders, Asia-Pacific region, Middle East, and Africa.""",91.5,"""35,728""","""35,788""",0.000712,0.04,1434.6
"""Wideband Global Satcom 1 (WGS-1, USA 195)""",USA,Military Satellite Communications - US Air Force,Military,Communications,GEO,,2007-10-11,,First of five; will provide services to the US Department of Defense and the Ministry of Defense for Canada as well as other Government and Allied users under unstressed conditions.,0,"""35,783""","""35,790""",0.000083,0,1436.1
"""Wideband Global Satcom 2 (WGS-2, USA 204)""",USA,Military Satellite Communications - US Air Force,Military,Communications,GEO,,2009-04-04,,X and Ka-band transponders. Will replace DSCS system.,60,"""35,786""","""35,787""",0.0000119,0.03,1436.12
"""Wideband Global Satcom 3 (WGS-3, USA 211)""",USA,Military Satellite Communications - US Air Force,Military,Communications,GEO,,2009-12-06,,X and Ka-band transponders. Will replace DSCS system.,-12,"""35,785""","""35,786""",0.0000119,0,1436.1
"""Wideband Global Satcom 4 (WGS-4, USA 233)""",USA,Military Satellite Communications - US Air Force,Military,Communications,GEO,,2012-01-20,,X and Ka-band transponders. Will replace DSCS system.,-124.5,"""35,785""","""35,786""",0.0000119,0.01,1436.1
Molniya-1T (Molniya 1-92),Russia,Military Space Forces (VKS),Military/Commercial,Communications,Elliptical,Molniya,2003-04-02,4,Highly elliptical orbit developed for northern latitudes beyond reach of geostationary satellites.,0,623,"""40,644""",0.741,62.8,736.37
Molniya 3-53 ,Russia,Military Space Forces (VKS),Military/Commercial,Communications,Elliptical,Molniya,2003-06-19,4,Last in Molniya-M series;can carry satellite broadcast television as well as military and manned voice communcations; highly elliptical orbit developed for northern latitudes beyond reach of geostationary satellites. ,0,631,"""39,788""",0.737,62.9,719.1
Meridian-3,Russia,Military Space Forces (VKS),Military,Communications,Elliptical,Molniya,2010-11-02,,"""Military communications - designed to replace Molniya and Parus spacecraft; this is the third of the series, first success.""",0,961,"""39,388""",0.724,62.8,645.98
Meridian-4,Russia,Military Space Forces (VKS),Military,Communications,Elliptical,Molniya,2011-05-04,,Military communications - designed to replace Molniya and Parus spacecraft; this is the fourth of the series.,0,964,"""39,396""",0.724,62.8,717.88
Skynet 4E ,United Kingdom,Ministry of Defense,Military,Communications,GEO,,1999-02-26,7,"""Used primarily by UK's armed forces, government departments, agencies and other organizations that require secure communications.""",35.58,"""35,774""","""35,797""",0.000273,4.99,1436.06
Skynet 4F ,United Kingdom,Ministry of Defense,Military,Communications,GEO,,2001-02-07,7,"""Used primarily by UK's armed forces, government departments, agencies and other organizations that require secure communications.""",-34.04,"""35,773""","""35,801""",0.000332,3.23,1436.15
Topsat,United Kingdom,Ministry of Defence/British National Space Centre,Government,Technology Development/Earth Observation,LEO,Sun-Synchronous,2005-10-27,,"""Low-cost, high resolution images.""",0,682,707,0.00177,98.19,98.66
Skynet 5C,United Kingdom,Ministry of Defence/Paradigm Secure Communications,Military,Communications,GEO,,2008-06-12,,24 super-high-frequency and UHF channels; provide secure communications services to British and NATO forces.,-17.83,"""35,770""","""35,803""",0.000391,0.53,1436.1
Parus-90 (Cosmos 2361),Russia,Ministry of Defense,Military,Navigation,LEO,Intermediate,1998-12-24,2,Normally part of a six-satellite constellation.,0,969,"""1,013""",0.00299,82.9,104.92
Parus-91 (Cosmos 2366),Russia,Ministry of Defense,Military,Navigation,LEO,Intermediate,1999-08-26,5,Normally part of a six-satellite constellation.,0,965,"""1,005""",0.00272,82.9,104.79
Parus-92 (Cosmos 2378),Russia,Ministry of Defense,Military,Navigation,LEO,Intermediate,2001-06-08,2,Normally part of a six-satellite constellation.,0,963,"""1,010""",0.00319,82.9,104.83
Strela 3 (Cosmos 2384),Russia,Ministry of Defense,Military,Communications,LEO,Intermediate,2001-12-27,3,Satellites have a single simultaneous earth-space and space-earth channel.,0,"""1,416""","""1,432""",0.00103,82.5,114.3
Strela 3 (Cosmos 2385),Russia,Ministry of Defense,Military,Communications,LEO,Intermediate,2001-12-27,3,Satellites have a single simultaneous earth-space and space-earth channel.,0,"""1,416""","""1,417""",0.0000642,82.5,114.14
Strela 3 (Cosmos 2386),Russia,Ministry of Defense,Military,Communications,LEO,Intermediate,2001-12-27,3,Satellites have a single simultaneous earth-space and space-earth channel.,0,"""1,404""","""1,417""",0.000835,82.5,114.01
Ofeq 5 ,Israel,Ministry of Defense,Military,Remote Sensing/Reconnaissance,LEO,Retrograde,2002-05-28,4,High resolution observation missions.,0,367,764,0.0286,143.4,95.97
Parus 93 (Cosmos 2389),Russia,Ministry of Defense,Military,Navigation,LEO,Intermediate,2002-05-28,5,Normally part of a six-satellite constellation.,0,949,"""1,016""",0.00456,82.9,104.74
Strela 3 (Cosmos 2390),Russia,Ministry of Defense,Military,Communications,LEO,Intermediate,2002-07-08,3,Store-dump communications for Russian government and military.,0,"""1,468""","""1,507""",0.00248,82.4,115.7
Strela 3 (Cosmos 2391),Russia,Ministry of Defense,Military,Communications,LEO,Intermediate,2002-07-08,3,Store-dump communications for Russian government and military.,0,"""1,468""","""1,509""",0.00261,82.4,115.73
Parus 94 (Cosmos 2398),Russia,Ministry of Defense,Military,Navigation,LEO,Intermediate,2003-06-04,2,Normally part of a six-satellite constellation.,0,970,"""1,014""",0.00299,82.9,104.94
Strela 3 (Cosmos 2401),Russia,Ministry of Defense,Military,Communications,LEO,Intermediate,2003-08-19,3,Store-dump communications for Russian government and military.,0,"""1,465""","""1,501""",0.00229,82.4,115.6
Strela 3 (Cosmos 2400),Russia,Ministry of Defense,Military,Communications,LEO,Intermediate,2003-08-19,3,Store-dump communications for Russian government and military.,0,"""1,468""","""1,501""",0.0021,82.4,115.64
Parus-95 (Cosmos 2407),Russia,Ministry of Defense,Military,Navigation,LEO,Intermediate,2004-07-22,2,Normally part of a six-satellite constellation.,0,951,"""1,006""",0.00374,83,104.7
Strela 3 (Cosmos 2408),Russia,Ministry of Defense,Military,Communications,LEO,Intermediate,2004-09-23,3,Store-dump communications for Russian government and military.,0,"""1,457""","""1,480""",0.00147,82.5,115.6
Strela 3 (Cosmos 2409),Russia,Ministry of Defense,Military,Communications,LEO,Intermediate,2004-09-23,3,Store-dump communications for Russian government and military.,0,"""1,459""","""1,480""",0.00134,82.5,115.6
"""Glonass 712 (Uragan M, Cosmos 2413)""",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,,2004-12-26,7,"""New Glonass-M type; Russia's version of the GPS system, functions the same; there has been cooperation between the two; much scaled-back constellation""",0,"""19,134""","""19,141""",0.000137,64.8,676.1
Parus-96 (Cosmos 2414),Russia,Ministry of Defense,Military,Navigation,LEO,Intermediate,2005-01-20,2,Normally part of a six-satellite constellation.,0,910,967,0.0039,82.95,103.8
Rodnik-1 (Cosmos 2416),Russia,Ministry of Defense,Military,Communications,LEO,Intermediate,2005-12-21,,Believed to be replacement system for Strela-3 store and dump communications.,0,"""1,438""","""1,448""",0.00064,82.4,114.72
Glonass 714 (Cosmos 2419),Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,,2005-12-25,7,"""New Glonass-M type; Russia's version of the GPS system, functions the same; there has been cooperation between the two; much scaled-back constellation""",0,"""19,118""","""19,125""",0.000137,64.8,675.39
US-KS Oko 87 (Cosmos-2422),Russia,Ministry of Defense,Military,Early Warning,Elliptical,Molniya,2006-07-21,,Russian early-warning system.,0,542,"""39,807""",0.74,62.8,717.66
"""Glonass 715 (Glonass 35-1, Cosmos 2424)""",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,,2006-12-25,7,,0,"""19,130""","""19,130""",0,64.8,675.75
"""Glonass 716 (Glonass 35-2, Cosmos 2425)""",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,,2006-12-25,7,,0,"""19,130""","""19,130""",0,64.8,675.75
"""Glonass 717 (Glonass 35-3, Cosmos 2426)""",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,,2006-12-25,7,,0,"""19,130""","""19,130""",0,64.8,675.75
Ofeq 7,Israel,Ministry of Defense,Military,Remote Sensing/Reconnaissance,LEO,,2007-06-10,5,Reconnaissance satellite Mideast area; especially Syria and Iran.,0,340,576,0.0173,141.76,93.75
Tselina-2 (Cosmos 2428),Russia,Ministry of Defense,Military,Electronic surveillance,LEO,Intermediate,2007-06-29,,ELINT; likely the last satellite of this class; to be replaced by Liana system.,0,850,880,0.00207,71,101.96
Parus-97 (Cosmos 2429),Russia,Ministry of Defense,Military,Navigation,LEO,Intermediate,2007-09-11,2,Normally part of a six-satellite constellation.,0,956,999,0.00293,82.98,104.63
US-KS Oko 88 (Cosmos 2430),Russia,Ministry of Defense,Military,Early Warning,Elliptical,Molniya,2007-10-23,,Russian early-warning system.,0,512,"""39,849""",0.741,62.9,717.9
"""Glonass 718 (Glonass 36-1, Cosmos 2431)""",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,,2007-10-26,7,,0,"""19,083""","""19,177""",0.00184,64.9,675.75
"""Glonass 719 (Glonass 36-2, Cosmos 2432)""",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,,2007-10-26,7,,0,"""19,094""","""19,171""",0.00151,64.9,675.83
"""Glonass 720 (Glonass 36-3, Cosmos 2433)""",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,,2007-10-26,7,,0,"""19,124""","""19,133""",0.000176,64.9,675.67
"""Raduga 1-M1 (Raduga 1-8, Globus 18-L, Cosmos 2434)""",Russia,Ministry of Defense,Military,Communications,GEO,,2007-12-09,5,Military communication.,70.05,"""35,774""","""35,798""",0.000285,0.01,1436.1
"""Glonass 721 (Glonass 37-1, Cosmos 2434)""",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,,2007-12-25,7,,0,"""19,142""","""19,378""",0.0046,64.66,680.91
"""Glonass 722 (Glonass 37-2, Cosmos 2435)""",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,,2007-12-25,7,,0,"""18,981""","""19,126""",0.00285,64.65,672.7
"""Glonass 723 (Glonass 37-3, Cosmos 2436)""",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,,2007-12-25,7,,0,"""19,147""","""19,365""",0.00425,64.67,680.75
"""Glonass 724 (Glonass 38-1, Cosmos 2442)""",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,,2008-09-25,7,,0,"""19,092""","""19,141""",0.000961,64.79,675.2
"""Glonass 725 (Glonass 38-2, Cosmos 2443)""",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,,2008-09-25,7,,0,"""19,134""","""19,145""",0.000216,64.79,676.1
"""Glonass 726 (Glonass 38-3, Cosmos 2444)""",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,,2008-09-25,7,,0,"""19,136""","""19,141""",0.000098,64.82,676.07
US-KS Oko 89 (Cosmos 2446),Russia,Ministry of Defense,Military,Early Warning,Elliptical,Molniya,2008-12-02,,Russian early-warning satellite of 73D6 type.,0,667,"""39,697""",0.735,62.8,717.9
"""Glonass 727 (Glonass 39-1, Cosmos 2447)""",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,,2008-12-25,7,,0,"""19,112""","""19,142""",0.000588,64.83,675.62
"""Glonass 728 (Glonass 39-2, Cosmos 2448)""",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,,2008-12-25,7,,0,"""18,880""","""19,129""",0.00491,64.79,670.75
"""Glonass 729 (Glonass 39-3, Cosmos 2449)""",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,,2008-12-25,7,,0,"""18,922""","""19,135""",0.00419,64.79,671.71
"""Raduga 1-8 (Raduga 1-M1, Cosmos 2450)""",Russia,Ministry of Defense,Military,Communications,GEO,,2009-02-28,5,Military communication.,89.84,"""35,612""","""35,949""",0.004,1.44,1435.79
RISAT-2 (Radar Imaging Satellite 2),India,Ministry of Defense,Military,Surveillance,LEO,,2009-04-20,,First dedicated military surveillance satellite; rushed out after terrorist attack on Mumbai.,0,406,553,0.0107,41.22,94.19
Parus-98 (Cosmos 2454),Russia,Ministry of Defense,Military,Navigation,LEO,Intermediate,2009-07-21,2,Normally part of a six-satellite constellation.,0,917,944,0.00185,82.96,103.63
Lotos-S (Cosmos 2455),Russia,Ministry of Defense,Military,Reconnaissance,LEO,Sun-Synchronous,2009-11-20,,"""New generation electronic reconnaissance satellite, possibly will work as part of the Liana electronic reconnaissance system. """,0,903,907,0.000275,67.16,103.1
"""Glonass 730 (Glonass 41-1, Cosmos 2456)""",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,,2009-12-14,7,,0,"""19,132""","""19,419""",0.0056,64.81,681.53
"""Glonass 733 (Glonass 41-2, Cosmos 2457)""",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,,2009-12-14,7,,0,"""18,864""","""19,130""",0.00524,64.78,670.47
